epoch=1 train_loss=0.390897 val_loss=1359.04 val_mae=25.8805
epoch=2 train_loss=0.38404 val_loss=1334.74 val_mae=25.5638
epoch=3 train_loss=0.376584 val_loss=1308.56 val_mae=25.2649
epoch=4 train_loss=0.368308 val_loss=1278.71 val_mae=24.9086
epoch=5 train_loss=0.35896 val_loss=1245.01 val_mae=24.4797
epoch=6 train_loss=0.348327 val_loss=1207.44 val_mae=23.985
epoch=7 train_loss=0.33659 val_loss=1166.42 val_mae=23.433
epoch=8 train_loss=0.323732 val_loss=1121.3 val_mae=22.8307
epoch=9 train_loss=0.309844 val_loss=1072.95 val_mae=22.2223
epoch=10 train_loss=0.295101 val_loss=1021.03 val_mae=21.6268
epoch=11 train_loss=0.279736 val_loss=965.789 val_mae=21.0563
epoch=12 train_loss=0.263793 val_loss=907.938 val_mae=20.502
epoch=13 train_loss=0.247399 val_loss=847.811 val_mae=19.898
epoch=14 train_loss=0.230438 val_loss=785.256 val_mae=19.2498
epoch=15 train_loss=0.213186 val_loss=721.738 val_mae=18.5084
epoch=16 train_loss=0.195157 val_loss=655.697 val_mae=17.6703
epoch=17 train_loss=0.176804 val_loss=589.746 val_mae=16.7768
epoch=18 train_loss=0.158412 val_loss=524.019 val_mae=15.8254
epoch=19 train_loss=0.14027 val_loss=459.849 val_mae=14.8584
epoch=20 train_loss=0.122759 val_loss=397.973 val_mae=13.8721
epoch=21 train_loss=0.105734 val_loss=339.302 val_mae=12.8647
epoch=22 train_loss=0.0899255 val_loss=284.074 val_mae=11.8097
epoch=23 train_loss=0.0753926 val_loss=234.502 val_mae=10.8373
epoch=24 train_loss=0.0622193 val_loss=189.855 val_mae=9.8148
epoch=25 train_loss=0.0508791 val_loss=153.173 val_mae=8.90291
epoch=26 train_loss=0.0409236 val_loss=120.626 val_mae=7.94773
epoch=27 train_loss=0.0325788 val_loss=93.2813 val_mae=7.08706
epoch=28 train_loss=0.0258414 val_loss=72.0745 val_mae=6.3174
epoch=29 train_loss=0.0205814 val_loss=55.9635 val_mae=5.62128
epoch=30 train_loss=0.0166905 val_loss=44.1898 val_mae=4.92208
